muni_code,muni_name,state_code,state_name,state_type,country,country_code,regional_group,regional_group_name
05162016,"Kaarst, Stadt",DEA1D,Rhein-Kreis Neuss,NUTS3,Germany,DE,DEA1D,Rhein-Kreis Neuss
05162020,"Korschenbroich, Stadt",DEA1D,Rhein-Kreis Neuss,NUTS3,Germany,DE,DEA1D,Rhein-Kreis Neuss
05162022,"Meerbusch, Stadt",DEA1D,Rhein-Kreis Neuss,NUTS3,Germany,DE,DEA1D,Rhein-Kreis Neuss
05162024,"Neuss, Stadt",DEA1D,Rhein-Kreis Neuss,NUTS3,Germany,DE,DEA1D,Rhein-Kreis Neuss
05162028,Rommerskirchen,DEA1D,Rhein-Kreis Neuss,NUTS3,Germany,DE,DEA1D,Rhein-Kreis Neuss
05166004,"Brüggen, Burggemeinde",DEA1E,Viersen,NUTS3,Germany,DE,DEA1E,Viersen
05166008,"Grefrath, Sport- und Freizeitgemeinde",DEA1E,Viersen,NUTS3,Germany,DE,DEA1E,Viersen
05166012,"Kempen, Stadt",DEA1E,Viersen,NUTS3,Germany,DE,DEA1E,Viersen
05166016,"Nettetal, Stadt",DEA1E,Viersen,NUTS3,Germany,DE,DEA1E,Viersen
05166020,Niederkrüchten,DEA1E,Viersen,NUTS3,Germany,DE,DEA1E,Viersen
05166024,Schwalmtal,DEA1E,Viersen,NUTS3,Germany,DE,DEA1E,Viersen
05166028,"Tönisvorst, Stadt",DEA1E,Viersen,NUTS3,Germany,DE,DEA1E,Viersen
05166032,"Viersen, Stadt",DEA1E,Viersen,NUTS3,Germany,DE,DEA1E,Viersen
05166036,"Willich, Stadt",DEA1E,Viersen,NUTS3,Germany,DE,DEA1E,Viersen
05170004,Alpen,DEA1F,Wesel,NUTS3,Germany,DE,DEA1F,Wesel
05170008,"Dinslaken, Stadt",DEA1F,Wesel,NUTS3,Germany,DE,DEA1F,Wesel
05170012,"Hamminkeln, Stadt",DEA1F,Wesel,NUTS3,Germany,DE,DEA1F,Wesel
03154008,Grasleben,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154009,Groß Twülpstedt,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154012,Jerxheim,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154013,"Königslutter am Elm, Stadt",DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154014,Lehre,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154015,Mariental,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154016,Querenhorst,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154017,Räbke,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154018,Rennau,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154019,"Schöningen, Stadt",DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154021,Süpplingen,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154022,Süpplingenburg,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154024,Velpke,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154025,Warberg,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154026,Wolsdorf,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154027,Söllingen,DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154028,"Helmstedt, Stadt",DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154501,"Brunsleberfeld, gemfr. Gebiet",DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154502,"Helmstedt, gemfr. Gebiet",DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154503,"Königslutter, gemfr. Gebiet",DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154504,"Mariental, gemfr. Gebiet",DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03154506,"Schöningen, gemfr. Gebiet",DE917,Helmstedt,NUTS3,Germany,DE,DE917,Helmstedt
03155001,"Bad Gandersheim, Stadt",DE918,Northeim,NUTS3,Germany,DE,DE918,Northeim
01059086,Taarstedt,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059087,Tetenhusen,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059088,Tielen,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059090,Tolk,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059092,Treia,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059093,Uelsby,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059094,Ulsnis,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059095,Wagersrott,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059096,Wohlde,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059097,Twedt,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059098,Nübel,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059101,Tastrup,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059102,Ahneby,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059103,Ausacker,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059105,Böxlund,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059106,Dollerup,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059107,Eggebek,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
01059109,Esgrus,DEF0C,Schleswig-Flensburg,NUTS3,Germany,DE,DEF0C,Schleswig-Flensburg
